RTT,cwnd
1,2
2,4
3,5
13,6
20,6
25,3
36,5
37,5
41,3
38,4
44,2
43,4
90,6
103,7
109,7
115,2
70,6
73,4
83,2
80,4
127,4
136,5
94,6
106,6
166,7
124,6
131,6
174,3
259,4
189,4
170,6
237,3
245,5
250,2
155,5
197,6
133,7
174,5
227,3
249,3
267,4
285,5
298,6
303,6
180,7
114,9
264,10
514,6
678,3
371,4
198,6
390,6
588,4
368,4
632,5
844,3
742,2
978,3
1288,3
1023,3
768,3
704,2
644,3
433,4
453,5
364,6
377,6
262,5
285,5
262,6
297,6
351,4
285,3
306,2
349,3
369,2
410,3
442,3
282,4
303,4
331,2
303,4
350,5
341,6
402,6
331,7
503,8
521,8
781,4
363,6
435,5
401,6
470,6
394,5
459,4
423,5
304,6
380,6
325,6
352,2
406,3
433,3
462,2
395,3
422,3
480,4
519,5
632,7
679,7
890,3
891,2
546,5
599,5
656,3
647,4
641,5
711,5
610,6
671,3
702,2
1049,4
1054,4
627,5
586,7
620,7
684,3
597,6
587,7
621,7
421,8
720,5
833,5
1261,6
779,7
923,7
413,6
687,5
787,4
634,5
717,5
820,4
1070,3
1092,3
1248,4
2043,5
3837,6
876,5
614,8
751,4
787,4
825,2
1019,4
1075,5
2089,6
1854,6
2771,4
1229,4
557,6
715,5
652,6
733,6
583,5
530,3
572,3
643,4
728,3
956,3
950,4
1636,5
1621,5
1544,3
1946,4
3321,5
2830,2
964,5
1085,4
1021,5
1335,3
1406,5
1412,5
1421,4
967,3
1055,3
1097,2
1162,3
1195,2
1249,3
1276,3
1528,4
1189,4
1294,4
1350,3
1772,3
1744,2
2279,3
1969,4
2573,3
2226,3
1995,4
2616,3
2277,3
1989,4
1386,4
1430,3
1451,2
1485,3
1523,4
924,5
1035,3
783,5
969,4
1657,5
1737,5
1164,6
1363,6
1021,3
1069,5
1176,5
1233,2
932,5
1591,5
1614,5
1320,6
1360,6
1782,3
1103,5
719,6
952,5
1009,5
1511,4
1074,5
1836,5
2406,3
2356,3
2274,2
2531,3
2414,3
1828,4
1839,5
1854,3
1866,4
1082,5
1260,4
1314,4
1310,5
1712,3
1771,4
1794,4
1818,3
2370,3
2187,4
2125,4
1059,5
1186,5
1133,4
1349,3
1286,4
1446,4
1123,3
1247,3
1182,4
1243,5
1626,3
2425,4
2253,4
1649,5
1938,3
1644,5
1818,6
1306,6
1366,6
953,7
1288,7
1355,2
1501,7
1644,7
813,8
886,8
902,9
1114,4
1182,4
1248,2
1304,4
1549,4
860,5
1149,5
1291,3
1685,3
1468,4
1626,4
1773,4
2283,3
2351,3
2335,3
2050,4
2161,4
2186,3
1737,4
1849,4
1891,5
3653,6
3476,6
1888,6
2467,3
2440,4
1041,5
1104,4
1652,4
1625,5
2122,3
3599,5
6089,5
9041,4
5470,3
4156,3
3803,2
4995,3
3370,5
1898,3
1658,5
2099,5
1407,6
1566,6
1099,7
1554,6
1628,6
2748,5
1761,5
1171,6
1534,3
1179,5
1423,5
1311,6
1480,6
1424,7
1588,3
933,7
1590,5
3509,7
3393,7
2556,6
2895,7
1852,3
1383,6
1835,6
1904,6
1603,7
1897,7
2818,4
1540,5
1563,5
1116,6
1384,4
1470,4
1559,2
1370,4
1526,5
2127,7
2178,7
1822,4
1966,3
